chemical_code,chemical,items_2019,items_2020
1202010U0,Mometasone furoate,179403,210337
040201060,Olanzapine,198870,207777
0407020B0,Buprenorphine,195784,205782
0106020I0,Docusate sodium,188152,204201
0103050E0,Esomeprazole,165712,199119
0901020N0,Hydroxocobalamin,227262,198523
0408010C0,Carbamazepine,188644,196776
0601023AE,Linagliptin,169888,196554
0501050B0,Clarithromycin,178630,191549
0302000V0,Fluticasone furoate (Inhalation),125770,190100
1001030U0,Methotrexate,169593,184782
0102000P0,Mebeverine hydrochloride,173868,183627
210102301,DUMMY CHEMICAL SUBSTANCE 210102301,161168,178355
0212000L0,Ezetimibe,150752,173034
0411000D0,Donepezil hydrochloride,170319,172947
0407041T0,Sumatriptan succinate,152165,172782
0410030C0,Methadone hydrochloride,148998,171028
1003020AF,Diclofenac diethyl,142909,168198
213000007,DUMMY CHEMICAL SUBSTANCE 213000007,144504,166601
1404000H0,Influenza,182401,165571
1108010F0,Hypromellose,168412,164734
1202010C0,Beclometasone dipropionate,168429,162634
0601012V0,Insulin glargine,130806,161726
0206010F0,Glyceryl trinitrate,141626,161725
0205052I0,Irbesartan,150506,160982
210109007,DUMMY CHEMICAL SUBSTANCE 210109007,122514,158535
0202020D0,Bumetanide,139180,154221
0407020AD,Oxycodone hydrochloride,147630,154059
0104020L0,Loperamide hydrochloride,141808,152712
0601023AN,Empagliflozin,97381,150548
0407010N0,Co-dydramol (Dihydrocodeine/paracetamol),150466,150458
212200001,DUMMY CHEMICAL SUBSTANCE 212200001,143432,149195
0304010D0,Loratadine,154071,148062
1202010W0,Fluticasone furoate,135164,143910
040201030,Risperidone,141222,143686
0406000B0,Betahistine hydrochloride,136381,140985
0105010B0,Mesalazine (Systemic),121704,139051
0906027G0,Vitamin B compound,161965,138439
0604011G0,Estradiol,96276,137885
0704020AE,Mirabegron,112790,137348
0205051I0,Enalapril maleate,132977,137156
0601023AK,Alogliptin,104687,136923
0407020G0,Dihydrocodeine tartrate,129047,132833
0102000N0,Hyoscine butylbromide,127798,132692
0501080W0,Trimethoprim,141992,129198
0304010W0,Promethazine hydrochloride,103469,126182
0704020J0,Oxybutynin,126295,126133
0103050R0,Pantoprazole,108567,125408
0206020R0,Nifedipine,145582,124943
1108010B0,Carbomer 940/980,125262,124111
210109004,DUMMY CHEMICAL SUBSTANCE 210109004,110893,123588
0411000G0,Memantine hydrochloride,108601,122314
1001010J0,Ibuprofen,155433,121742
0403030X0,Escitalopram,100299,120211
0406000T0,Prochlorperazine maleate,128414,117754
0206030N0,Nicorandil,120443,117627
0403030P0,Paroxetine hydrochloride,110289,116428
210109008,DUMMY CHEMICAL SUBSTANCE 210109008,111654,115132
1304000H0,Clobetasone butyrate,108501,115073
0601023AG,Dapagliflozin,89667,113493
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),109668,112440
0409010N0,Co-careldopa (Carbidopa/levodopa),105123,112124
0604011L0,Estradiol with progestogen,106273,110095
0208020AA,Edoxaban,49447,109435
1001030C0,Hydroxychloroquine sulfate,96256,108436
0704020N0,Tolterodine,107086,107264
0402010AD,Aripiprazole,95015,107040
0404000M0,Methylphenidate hydrochloride,91195,104514
0401010AD,Melatonin,85329,103204
1106000AF,Bimatoprost,95354,102809
0301011AB,Beclometdiprop/formoterol/glycopyrronium,44292,102306
1002020C0,Baclofen,94435,101264
0403010X0,Trazodone hydrochloride,96207,100735
1305020D0,Calcipotriol,93270,99868
0702010G0,Estradiol,82881,99369
120101050,Dexamethasone,113634,98118
0106010E0,Ispaghula husk,94975,96845
1103010C0,Chloramphenicol,125164,92936
0901020D0,Cyanocobalamin,80338,92644
0401020P0,Lorazepam,86925,92121
0501030L0,Lymecycline,93736,91125
1106000AI,Timolol and bimatoprost,81179,91087
1106000AC,Brinzolamide,81275,90741
040801050,Topiramate,78959,89282
0409010K0,Co-beneldopa (Benserazide/levodopa),82446,88648
0503021C0,Aciclovir,79217,87733
0106020C0,Bisacodyl,93079,86219
0408010F0,Clonazepam,81112,86106
0803041L0,Letrozole,72866,85891
0407020A0,Fentanyl,88522,84282
1202010M0,Fluticasone propionate (Nasal),77823,83874
1502010J0,Lidocaine hydrochloride,118007,82922
0406000F0,Cyclizine hydrochloride,77217,80288
090607000,Other multivitamin preparations,73553,79698
1304000G0,Clobetasol propionate,72619,78117
0501050A0,Azithromycin,64255,77958
0202030X0,Eplerenone,63859,77360
090401000,Other food for special diet preparations,76987,75761
0304010G0,Chlorphenamine maleate,83290,75755
0105010E0,Sulfasalazine,69338,75638
0301040W0,Umeclidinium bromide/vilanterol,51199,74370
214800001,DUMMY CHEMICAL SUBSTANCE 214800001,16947,74021
1310012F0,Fusidic acid,88767,73880
0402030K0,Lithium carbonate,71135,73872
0409020S0,Procyclidine hydrochloride,73204,73436
0601012W0,Biphasic insulin aspart,67291,73093
0802010G0,Azathioprine,67924,71764
0401010T0,Temazepam,76141,71382
1304000Y0,Mometasone furoate,66917,71204
0906040B0,Alfacalcidol,65606,69328
0704050R0,Tadalafil,65850,68944
200301001,DUMMY CHEMICAL SUBSTANCE 200301001,73282,68460
1106000AB,Dorzolamide and timolol,59133,68210
0703022M0,Medroxyprogesterone acetate,76600,68087
130201100,Emollient bath and shower preparations,79081,67312
0601012D0,Biphasic isophane insulin,59157,66512
0501021L0,Cefalexin,60915,64358
0410030A0,Buprenorphine hydrochloride,56836,64302
0601012X0,Insulin detemir,53472,63887
0601023B0,Pioglitazone hydrochloride,63509,62428
212200003,DUMMY CHEMICAL SUBSTANCE 212200003,60084,62272
0702010F0,Estriol,52430,62184
0601012S0,Isophane insulin,54300,62164
0803041S0,Tamoxifen citrate,55880,61672
0301011V0,Terbutaline sulphate,41821,60974
0403010V0,Nortriptyline,53642,60478
1104020T0,Sodium cromoglicate,71787,59421
0702020F0,Clotrimazole,69097,59346
0601023AQ,Dulaglutide,40536,58702
0406000P0,Metoclopramide hydrochloride,60268,57922
0206020T0,Verapamil hydrochloride,54372,57261
238031080,DUMMY CHEMICAL SUBSTANCE 238031080,58053,56860
0409010H0,Ropinirole hydrochloride,51933,56413
0408010Q0,Phenytoin sodium,56620,56394
238047080,DUMMY CHEMICAL SUBSTANCE 238047080,66029,56369
238030680,DUMMY CHEMICAL SUBSTANCE 238030680,38758,55909
0109040N0,Pancreatin,47653,55661
0502030B0,Nystatin,55812,54252
0606020R0,Risedronate sodium,52920,53816
0602020D0,Carbimazole,46972,53227
0206020K0,Lacidipine,47584,53173
0209000Z0,Ticagrelor,47541,53160
0301020T0,Umeclidinium bromide,52551,52882
1310020H0,Clotrimazole,64960,52864
020400080,Carvedilol,47878,52515
0401010Y0,Zolpidem tartrate,53178,52407
0204000AB,Nebivolol,47665,52360
0803041B0,Anastrozole,47453,52263
0601021A0,Glimepiride,51128,52125
1106000Z0,Timolol,43969,51481
1309000I0,Ketoconazole,58683,50796
1309000C0,Coal tar,51612,50748
0601023AM,Canagliflozin,37901,50224
0212000P0,Fenofibrate,45698,49836
0603010I0,Fludrocortisone acetate,43479,49151
1108010D0,Carmellose sodium,46313,48759
0206030Z0,Ranolazine,35890,47273
190700000,Other base/diluent/suspending agent/stabiliser preparations,46975,46941
0407042Q0,Pizotifen malate,44302,46649
0402030Q0,Valproic acid,47242,46331
0107020J0,Hydrocortisone,54356,45880
1306010Y0,Benzoyl peroxide and clindamycin phosphate,50437,45707
0601011L0,Insulin Lispro,36372,45594
0601012Z0,Insulin degludec,27011,45416
0403010J0,Dosulepin hydrochloride,50565,45340
0501110C0,Metronidazole,49444,45051
0102000T0,Peppermint oil,45287,44629
0206030Y0,Ivabradine,40208,44575
0601023AB,Liraglutide,43881,44509
0603020J0,Hydrocortisone,35595,43698
1302011L0,Light liquid paraffin,61488,43081
1001040G0,Colchicine,40597,43038
1001010C0,Diclofenac sodium,54155,43008
0704010A0,Alfuzosin hydrochloride,41177,42835
0502010B0,Fluconazole,45563,42104
0409010W0,Pramipexole,38249,41882
0902013S0,Sodium bicarbonate,38162,41802
0204000T0,Sotalol hydrochloride,39721,41418
212100000,DUMMY CHEMICAL SUBSTANCE 212100000,39981,41374
1302010U0,Urea,42238,40448
0203020I0,Flecainide acetate,35388,40328
0203020D0,Amiodarone hydrochloride,39879,39925
1203010E0,Benzydamine hydrochloride,48011,39883
0301030S0,Theophylline,38999,39671
1001010AA,Meloxicam,45984,39285
0205052B0,Olmesartan medoxomil,36864,39192
0208020X0,Dabigatran etexilate,39332,38923
0501120L0,Ciprofloxacin,43977,38881
1104010I0,Dexamethasone,39164,38496
0211000P0,Tranexamic acid,36750,37398
0703010E0,Combined ethinylestradiol 20mcg,32828,37311
0304030C0,Adrenaline,35299,35972
1404000L0,Pneumococcal,36178,35723
0501050C0,Erythromycin,37889,35717
1001010AJ,Etoricoxib,31739,35360
0905011D0,Calcium carbonate,33677,35272
1106000AE,Travoprost,35589,35215
0212000D0,Bezafibrate,35100,35066
0301020S0,Glycopyrronium bromide,38425,34928
0301020I0,Ipratropium bromide,34135,34829
1304000X0,Hydrocortisone acetate,44819,34666
0407041Z0,Zolmitriptan,29647,34510
0601060W0,Ketone blood testing reagents,21243,34503
0304010J0,Hydroxyzine hydrochloride,36791,33894
0401010R0,Nitrazepam,35918,33703
1202030S0,Neomycin sulfate,39293,33659
0205052V0,Valsartan,34158,33366
0402010A0,Amisulpride,32604,33147
0205020M0,Moxonidine,32314,32685
0103050T0,Rabeprazole sodium,29094,32635
0411000E0,Rivastigmine,31584,32633
213000003,DUMMY CHEMICAL SUBSTANCE 213000003,30202,32462
1003020R0,Piroxicam,35681,32359
1106000P0,Dorzolamide,26658,32351
0410020B0,Nicotine,35966,32200
0604012S0,Progesterone,11000,31614
1304000D0,Betamethasone esters,32182,31557
1001022K0,Methylprednisolone acetate,53693,31392
1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal),22423,31051
0407041R0,Rizatriptan,27251,30572
1404000S0,Typhoid,63529,30568
212400001,DUMMY CHEMICAL SUBSTANCE 212400001,33699,30468
0204000K0,Metoprolol tartrate,36018,30391
0301011U0,Salmeterol,30125,30306
0109010U0,Ursodeoxycholic acid,25915,30277
1106000AD,Latanoprost and timolol,25487,29848
040801060,Clobazam,26316,29641
0502050C0,Terbinafine hydrochloride,32872,29564
0406000J0,Domperidone,31599,29448
0601012F0,Biphasic insulin lispro,27112,29283
0205052Q0,Telmisartan,26972,29269
210109009,DUMMY CHEMICAL SUBSTANCE 210109009,14427,29061
1310020N0,Miconazole nitrate,36869,28624
0504010T0,Quinine bisulfate,24764,28479
190205500,Other toiletry preparations,32128,28282
0906070T0,Vitamins caps,32800,28036
0406000D0,Cinnarizine,28968,27942
0402010J0,Haloperidol,26707,27503
1001010AH,Celecoxib,25205,27476
0605020E0,Desmopressin acetate,25279,27456
0107020P0,Prednisolone,31548,27453
0405010P0,Orlistat,30778,27258
0601040I0,Glucose,20999,27115
0301040X0,Tiotropium bromide/olodaterol,17738,26865
0904010H0,Gluten free bread,24622,26678
0704020Z0,Trospium chloride,26157,26646
0205052AE,Sacubitril/valsartan,14491,26573
0704020AA,Duloxetine hydrochloride,22904,26495
1404000F0,Diphtheria,46102,26425
211200001,DUMMY CHEMICAL SUBSTANCE 211200001,19248,26425
0410020C0,Varenicline tartrate,29263,25750
0604020B0,Dutasteride,24509,25724
200309000,DUMMY CHEMICAL SUBSTANCE 200309000,29081,25670
0301040Y0,Indacaterol/glycopyrronium,21906,25661
0501030T0,Oxytetracycline,28759,25657
210109005,DUMMY CHEMICAL SUBSTANCE 210109005,33610,25656
0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide),27491,25586
200301000,DUMMY CHEMICAL SUBSTANCE 200301000,29049,25545
0901011H0,Ferrous gluconate,24808,25530
1106000AA,Brimonidine tartrate,24100,25272
1310012K0,Metronidazole,28333,25132
0407042F0,Clonidine hydrochloride,31919,24974
0604020K0,Testosterone,21566,24862
0601023AW,Semaglutide,1035,24631
212300001,DUMMY CHEMICAL SUBSTANCE 212300001,23566,24594
0301020R0,Aclidinium bromide,26550,24019
0703010G0,Combined ethinylestradiol 35mcg,26216,23727
226010060,DUMMY CHEMICAL SUBSTANCE 226010060,29749,23627
0407010P0,Nefopam hydrochloride,22355,23404
211600000,DUMMY CHEMICAL SUBSTANCE 211600000,24758,23117
200309002,DUMMY CHEMICAL SUBSTANCE 200309002,23336,23108
140400030,Hepatitis A,45045,22847
090900000,Other food preparations,18550,22737
0301030C0,Aminophylline hydrate,22444,22572
210200011,DUMMY CHEMICAL SUBSTANCE 210200011,24326,22508
211400000,DUMMY CHEMICAL SUBSTANCE 211400000,22924,22311
0406000S0,Ondansetron hydrochloride,20226,22158
226009560,DUMMY CHEMICAL SUBSTANCE 226009560,18093,22055
0501015P0,Pivmecillinam hydrochloride,17535,21850
201000005,DUMMY CHEMICAL SUBSTANCE 201000005,23896,21546
1501041T0,Midazolam hydrochloride,16892,21300
200900004,DUMMY CHEMICAL SUBSTANCE 200900004,24001,21132
0102000A0,Alverine citrate,20083,20835
0209000L0,Dipyridamole,23328,20827
210125001,DUMMY CHEMICAL SUBSTANCE 210125001,36613,20763
200317000,DUMMY CHEMICAL SUBSTANCE 200317000,21577,20422
0402010D0,Chlorpromazine hydrochloride,21229,20396
0803042A0,Bicalutamide,18924,20225
0704020AD,Fesoterodine fumarate,19491,20206
1106000AH,Timolol and travoprost,19292,20125
0403010F0,Clomipramine hydrochloride,19344,20109
213000004,DUMMY CHEMICAL SUBSTANCE 213000004,20821,19848
200202009,DUMMY CHEMICAL SUBSTANCE 200202009,22070,19719
0803042K0,Goserelin acetate,19464,19700
1001010N0,Mefenamic acid,21654,19386
0604012P0,Norethisterone,30121,19143
1003020W0,Heparinoid,25737,18910
200202008,DUMMY CHEMICAL SUBSTANCE 200202008,20504,18334
0802010M0,Mycophenolate mofetil,15776,18308
236010063,DUMMY CHEMICAL SUBSTANCE 236010063,19559,18303
0304010AB,Desloratadine,17339,18293
0603020G0,Dexamethasone,18093,18159
0501050H0,Erythromycin ethylsuccinate,20685,18138
0902021X0,Water for injection,15390,17997
225010050,DUMMY CHEMICAL SUBSTANCE 225010050,23770,17885
1305030C0,Tacrolimus,13907,17846
0409010Y0,Rasagiline mesilate,16745,17788
0106020L0,Glycerol,18442,17783
1302020D0,Dimeticone (Barrier),20142,17724
1106000AJ,Brinzolamide and timolol,18746,17685
210705101,DUMMY CHEMICAL SUBSTANCE 210705101,21559,17663
0404000U0,Lisdexamfetamine dimesylate,11939,17607
0803042N0,Leuprorelin acetate,17591,17604
0301040V0,Aclidinium bromide/formoterol,15422,17577
0501080D0,Co-trimoxazole(Trimethoprim/sulfamethoxazole),14131,17483
0604011Y0,Tibolone,15854,17372
1106000AL,Brinzolamide/brimonidine,15955,17225
1306010Z0,Adapalene and benzoyl peroxide,18055,17169
1306010I0,Erythromycin,25662,17168
1202020L0,Sodium chloride,13975,17135
0601023AC,Saxagliptin,18739,16678
0604011P0,Oestrogens conjugated,14936,16505
1001030L0,Leflunomide,15030,16334
0205052P0,Losartan potassium with diuretic,16945,16218
1003020I0,Diethylamine salicylate,23423,16178
0902012H0,Oral rehydration salts,25614,16166
0205010J0,Hydralazine hydrochloride,14541,16137
201200002,DUMMY CHEMICAL SUBSTANCE 201200002,16098,15998
0408010N0,Phenobarbital,16035,15929
0401020B0,Buspirone hydrochloride,14783,15926
210704101,DUMMY CHEMICAL SUBSTANCE 210704101,19113,15901
238009080,DUMMY CHEMICAL SUBSTANCE 238009080,15356,15833
211300001,DUMMY CHEMICAL SUBSTANCE 211300001,16471,15832
1003020AA,Capsaicin,27181,15764
0408010AH,Lacosamide,12591,15636
1203040E0,Chlorhexidine gluconate,17102,15387
0408010AD,Zonisamide,13201,15158
1001040V0,Febuxostat,14370,15104
231507015,DUMMY CHEMICAL SUBSTANCE 231507015,12725,15074
0606020W0,Ibandronic acid,13349,15012
210200009,DUMMY CHEMICAL SUBSTANCE 210200009,15124,15000
1311020L0,Chlorhexidine gluconate,15233,14939
0106020P0,Sodium picosulfate,12902,14929
200301003,DUMMY CHEMICAL SUBSTANCE 200301003,15342,14894
1104020Z0,Olopatadine,14044,14865
210200014,DUMMY CHEMICAL SUBSTANCE 210200014,12777,14699
0407020AG,Tapentadol hydrochloride,13424,14482
1302020E0,Zinc oxide,17250,14453
0403040AB,Vortioxetine,9196,14422
0403010R0,Lofepramine hydrochloride,14432,14352
131002030,Terbinafine hydrochloride,18014,14089
0901011W0,Sodium feredetate,17013,14082
0407041M0,Naratriptan hydrochloride,12194,13952
0704010V0,Tamsulosin and dutasteride hydrochloride,13800,13950
200306003,DUMMY CHEMICAL SUBSTANCE 200306003,15307,13947
1306010H0,Adapalene,14867,13856
0601023AD,Metformin hydrochloride/sitagliptin,13186,13796
1104010D0,Betamethasone sodium phosphate,14580,13650
225009550,DUMMY CHEMICAL SUBSTANCE 225009550,10701,13618
0408010U0,Primidone,12722,13593
0604011K0,Estradiol valerate,9311,13546
0212000AD,Colesevelam hydrochloride,7766,13360
0411000F0,Galantamine,13845,13298
190201000,Other individually formulated bought in preparations,13165,13290
0409010X0,Levodopa/carbidopa/entacapone,13299,13084
100302010,Ketoprofen,14831,13080
238030480,DUMMY CHEMICAL SUBSTANCE 238030480,8488,13048
211600001,DUMMY CHEMICAL SUBSTANCE 211600001,12555,13048
0803041C0,Exemestane,11803,13029
200900009,DUMMY CHEMICAL SUBSTANCE 200900009,13787,12964
200317001,DUMMY CHEMICAL SUBSTANCE 200317001,14509,12871
1002020S0,Methocarbamol,12098,12798
0202030C0,Amiloride hydrochloride,13483,12787
1203020H0,Miconazole,13221,12662
212800001,DUMMY CHEMICAL SUBSTANCE 212800001,11881,12659
0407041A0,Analgesics with anti-emetics,7982,12645
238002980,DUMMY CHEMICAL SUBSTANCE 238002980,28141,12370
020400040,Co-tenidone (Atenolol/chlortalidone),12996,12317
0107010Z0,Zinc oxide,14574,12204
0403010N0,Imipramine hydrochloride,12907,12200
1001022U0,Triamcinolone acetonide,19937,12044
0103010D0,Cimetidine,2777,11972
0704020AC,Darifenacin hydrobromide,11861,11945
231510015,DUMMY CHEMICAL SUBSTANCE 231510015,15931,11913
0905030G0,Sodium fluoride,10960,11841
091200000,Other health supplement preparations,11741,11810
1308010Y0,Fluorouracil (Sunscreen),13339,11755
0106070A0,Prucalopride,9326,11647
0604020T0,Testosterone undecanoate,11359,11638
0409010B0,Amantadine hydrochloride,10905,11634
0403040F0,Flupentixol hydrochloride,11123,11575
0409010Z0,Rotigotine,10878,11463
0208010D0,Enoxaparin,12890,11462
0301011E0,Formoterol fumarate,10886,11425
0207020Y0,Midodrine hydrochloride,8792,11324
210113001,DUMMY CHEMICAL SUBSTANCE 210113001,12993,11250
0404000S0,Atomoxetine hydrochloride,9980,11250
1310020A0,Amorolfine hydrochloride,14232,11072
0802020T0,Tacrolimus,9940,11032
091000000,Other compound vitamin/mineral formulation preparations,11389,10973
238010080,DUMMY CHEMICAL SUBSTANCE 238010080,12767,10931
233510038,DUMMY CHEMICAL SUBSTANCE 233510038,12853,10925
0206040AE,Naftidrofuryl oxalate,10166,10921
0406000A0,Hyoscine,11659,10906
210200008,DUMMY CHEMICAL SUBSTANCE 210200008,11446,10770
090401030,Gluten free mixes,8539,10708
230510090,DUMMY CHEMICAL SUBSTANCE 230510090,11240,10667
231509015,DUMMY CHEMICAL SUBSTANCE 231509015,10729,10661
228010080,DUMMY CHEMICAL SUBSTANCE 228010080,13749,10588
0410010A0,Acamprosate calcium,10571,10527
200316000,DUMMY CHEMICAL SUBSTANCE 200316000,11470,10507
1202020I0,Ipratropium bromide,9034,10310
210112002,DUMMY CHEMICAL SUBSTANCE 210112002,13091,10249
0409020C0,Trihexyphenidyl hydrochloride,9930,10242
0402010S0,Promazine hydrochloride,9258,10174
231541015,DUMMY CHEMICAL SUBSTANCE 231541015,9249,10133
226005060,DUMMY CHEMICAL SUBSTANCE 226005060,12072,10085
201200001,DUMMY CHEMICAL SUBSTANCE 201200001,10876,10070
0501130H0,Methenamine hippurate,7654,10049
1001010K0,Indometacin,11292,9988
1310030C0,Aciclovir,11183,9935
210200012,DUMMY CHEMICAL SUBSTANCE 210200012,9783,9920
0212000F0,Colestyramine,12433,9916
0402010L0,Levomepromazine hydrochloride,8124,9784
0204000I0,Labetalol hydrochloride,10296,9749
0604012M0,Medroxyprogesterone acetate,9679,9728
0408010D0,Oxcarbazepine,9148,9656
1306010C0,Benzoyl peroxide,11380,9651
1310040Q0,Permethrin,13522,9643
0212000M0,Fluvastatin sodium,9357,9590
1404000AD,Hepatitis A/typhoid vaccine,18873,9507
0601011P0,Insulin glulisine,7738,9477
1303000AA,Menthol,8894,9438
0402010U0,Sulpiride,10835,9390
0205051K0,Lisinopril with diuretic,9792,9238
0601060U0,Urine testing reagents,7199,9173
1002020T0,Tizanidine hydrochloride,9001,9072
200317002,DUMMY CHEMICAL SUBSTANCE 200317002,8668,9060
0601023Y0,Exenatide,11027,8914
0703023L0,Levonorgestrel,12913,8848
1104010R0,Prednisolone acetate,6497,8738
0906024N0,Pyridoxine hydrochloride,8891,8692
1106000B0,Acetazolamide,7603,8624
1202010I0,Budesonide,9066,8556
0801050P0,Hydroxycarbamide,7599,8541
210122001,DUMMY CHEMICAL SUBSTANCE 210122001,8013,8499
238048080,DUMMY CHEMICAL SUBSTANCE 238048080,7794,8474
0703022P0,Etonogestrel,12654,8443
210200007,DUMMY CHEMICAL SUBSTANCE 210200007,11225,8426
0704050B0,Alprostadil,8551,8397
0408020W0,Midazolam hydrochloride,4899,8361
0902012L0,Sodium chloride,7369,8349
1501030G0,Glycopyrronium bromide,6275,8332
0601040H0,Glucagon,5954,8293
0202040C0,Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),9189,8275
1308010W0,Diclofenac sodium,10667,8192
1001010E0,Etodolac,8448,8101
0902011U0,Potassium chloride,7758,8058
1304000N0,Fluocinolone acetonide,8499,8036
0309010C0,Codeine phosphate,9282,8024
0212000AB,Omega-3-acid ethyl esters,9163,8012
1306020C0,Co-cyprindiol (Cyprote acetate/ethinylestradiol),8315,7970
1303000I0,Crotamiton,8411,7863
0205020E0,Clonidine hydrochloride,3776,7851
225005050,DUMMY CHEMICAL SUBSTANCE 225005050,9466,7843
1306010F0,Clindamycin phosphate,8844,7839
0208010L0,Dalteparin sodium,8680,7812
1305020V0,Cocois,7903,7801
200317003,DUMMY CHEMICAL SUBSTANCE 200317003,6947,7765
200306000,DUMMY CHEMICAL SUBSTANCE 200306000,8475,7721
1306010B0,Azelaic acid,8453,7683
1103010H0,Fusidic acid,11080,7489
200301002,DUMMY CHEMICAL SUBSTANCE 200301002,9338,7462
213200001,DUMMY CHEMICAL SUBSTANCE 213200001,5038,7352
0404000R0,Modafinil,6740,7325
0703021N0,Norethisterone,20446,7315
0502010C0,Itraconazole,8810,7309
0106040R0,Sodium citrate (Rectal),7463,7141
1106000AK,Tafluprost,7014,7124
0803042P0,Triptorelin acetate,6847,7075
0906031C0,Ascorbic acid,8144,6988
0406000L0,Hyoscine hydrobromide,5620,6963
223010030,DUMMY CHEMICAL SUBSTANCE 223010030,7824,6955
226050560,DUMMY CHEMICAL SUBSTANCE 226050560,6407,6943
0402010T0,Zuclopenthixol hydrochloride,6687,6939
1302010F0,Emulsifying wax,6790,6929
