chemical_code,chemical,items_2019,items_2020
0206020L0,Lercanidipine hydrochloride,0,254194
0906026M0,Thiamine hydrochloride,0,252947
0202030S0,Spironolactone,0,249449
0901011P0,Ferrous sulfate,0,246049
0201010F0,Digoxin,0,245685
0403040Y0,Duloxetine hydrochloride,0,244428
0206020C0,Diltiazem hydrochloride,0,225673
0106040G0,Lactulose,0,224916
0501011P0,Phenoxymethylpenicillin (Penicillin V),0,224298
0212000X0,Pravastatin sodium,0,223631
0408010A0,Levetiracetam,0,221401
0704020AB,Solifenacin,0,215687
0504010Y0,Quinine sulfate,0,213430
0408010W0,Sodium valproate,0,213310
0601011A0,Insulin aspart,0,212354
0601023X0,Sitagliptin,0,211544
1202010U0,Mometasone furoate,0,210337
040201060,Olanzapine,0,207777
0407020B0,Buprenorphine,0,205782
0106020I0,Docusate sodium,0,204201
0103050E0,Esomeprazole,0,199119
0901020N0,Hydroxocobalamin,0,198523
0408010C0,Carbamazepine,0,196776
0601023AE,Linagliptin,0,196554
0501050B0,Clarithromycin,0,191549
0302000V0,Fluticasone furoate (Inhalation),0,190100
1001030U0,Methotrexate,0,184782
0102000P0,Mebeverine hydrochloride,0,183627
210102301,DUMMY CHEMICAL SUBSTANCE 210102301,0,178355
0212000L0,Ezetimibe,0,173034
0411000D0,Donepezil hydrochloride,0,172947
0407041T0,Sumatriptan succinate,0,172782
0410030C0,Methadone hydrochloride,0,171028
1003020AF,Diclofenac diethyl,0,168198
213000007,DUMMY CHEMICAL SUBSTANCE 213000007,0,166601
1404000H0,Influenza,0,165571
1108010F0,Hypromellose,0,164734
1202010C0,Beclometasone dipropionate,0,162634
0601012V0,Insulin glargine,0,161726
0206010F0,Glyceryl trinitrate,0,161725
0205052I0,Irbesartan,0,160982
210109007,DUMMY CHEMICAL SUBSTANCE 210109007,0,158535
0202020D0,Bumetanide,0,154221
0407020AD,Oxycodone hydrochloride,0,154059
0104020L0,Loperamide hydrochloride,0,152712
0601023AN,Empagliflozin,0,150548
0407010N0,Co-dydramol (Dihydrocodeine/paracetamol),0,150458
212200001,DUMMY CHEMICAL SUBSTANCE 212200001,0,149195
0304010D0,Loratadine,0,148062
1202010W0,Fluticasone furoate,0,143910
040201030,Risperidone,0,143686
0406000B0,Betahistine hydrochloride,0,140985
0105010B0,Mesalazine (Systemic),0,139051
0906027G0,Vitamin B compound,0,138439
0604011G0,Estradiol,0,137885
0704020AE,Mirabegron,0,137348
0205051I0,Enalapril maleate,0,137156
0601023AK,Alogliptin,0,136923
0407020G0,Dihydrocodeine tartrate,0,132833
0102000N0,Hyoscine butylbromide,0,132692
0501080W0,Trimethoprim,0,129198
0304010W0,Promethazine hydrochloride,0,126182
0704020J0,Oxybutynin,0,126133
0103050R0,Pantoprazole,0,125408
0206020R0,Nifedipine,0,124943
1108010B0,Carbomer 940/980,0,124111
210109004,DUMMY CHEMICAL SUBSTANCE 210109004,0,123588
0411000G0,Memantine hydrochloride,0,122314
1001010J0,Ibuprofen,0,121742
0403030X0,Escitalopram,0,120211
0406000T0,Prochlorperazine maleate,0,117754
0206030N0,Nicorandil,0,117627
0403030P0,Paroxetine hydrochloride,0,116428
210109008,DUMMY CHEMICAL SUBSTANCE 210109008,0,115132
1304000H0,Clobetasone butyrate,0,115073
0601023AG,Dapagliflozin,0,113493
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),0,112440
0409010N0,Co-careldopa (Carbidopa/levodopa),0,112124
0604011L0,Estradiol with progestogen,0,110095
0208020AA,Edoxaban,0,109435
1001030C0,Hydroxychloroquine sulfate,0,108436
0704020N0,Tolterodine,0,107264
0402010AD,Aripiprazole,0,107040
0404000M0,Methylphenidate hydrochloride,0,104514
0401010AD,Melatonin,0,103204
1106000AF,Bimatoprost,0,102809
0301011AB,Beclometdiprop/formoterol/glycopyrronium,0,102306
1002020C0,Baclofen,0,101264
0403010X0,Trazodone hydrochloride,0,100735
1305020D0,Calcipotriol,0,99868
0702010G0,Estradiol,0,99369
120101050,Dexamethasone,0,98118
0106010E0,Ispaghula husk,0,96845
1103010C0,Chloramphenicol,0,92936
0901020D0,Cyanocobalamin,0,92644
0401020P0,Lorazepam,0,92121
0501030L0,Lymecycline,0,91125
1106000AI,Timolol and bimatoprost,0,91087
1106000AC,Brinzolamide,0,90741
040801050,Topiramate,0,89282
0409010K0,Co-beneldopa (Benserazide/levodopa),0,88648
0503021C0,Aciclovir,0,87733
0106020C0,Bisacodyl,0,86219
0408010F0,Clonazepam,0,86106
0803041L0,Letrozole,0,85891
0407020A0,Fentanyl,0,84282
1202010M0,Fluticasone propionate (Nasal),0,83874
1502010J0,Lidocaine hydrochloride,0,82922
0406000F0,Cyclizine hydrochloride,0,80288
090607000,Other multivitamin preparations,0,79698
1304000G0,Clobetasol propionate,0,78117
0501050A0,Azithromycin,0,77958
0202030X0,Eplerenone,0,77360
090401000,Other food for special diet preparations,0,75761
0304010G0,Chlorphenamine maleate,0,75755
0105010E0,Sulfasalazine,0,75638
0301040W0,Umeclidinium bromide/vilanterol,0,74370
214800001,DUMMY CHEMICAL SUBSTANCE 214800001,0,74021
1310012F0,Fusidic acid,0,73880
0402030K0,Lithium carbonate,0,73872
0409020S0,Procyclidine hydrochloride,0,73436
0601012W0,Biphasic insulin aspart,0,73093
0802010G0,Azathioprine,0,71764
0401010T0,Temazepam,0,71382
1304000Y0,Mometasone furoate,0,71204
0906040B0,Alfacalcidol,0,69328
0704050R0,Tadalafil,0,68944
200301001,DUMMY CHEMICAL SUBSTANCE 200301001,0,68460
1106000AB,Dorzolamide and timolol,0,68210
0703022M0,Medroxyprogesterone acetate,0,68087
130201100,Emollient bath and shower preparations,0,67312
0601012D0,Biphasic isophane insulin,0,66512
0501021L0,Cefalexin,0,64358
0410030A0,Buprenorphine hydrochloride,0,64302
0601012X0,Insulin detemir,0,63887
0601023B0,Pioglitazone hydrochloride,0,62428
212200003,DUMMY CHEMICAL SUBSTANCE 212200003,0,62272
0702010F0,Estriol,0,62184
0601012S0,Isophane insulin,0,62164
0803041S0,Tamoxifen citrate,0,61672
0301011V0,Terbutaline sulphate,0,60974
0403010V0,Nortriptyline,0,60478
1104020T0,Sodium cromoglicate,0,59421
0702020F0,Clotrimazole,0,59346
0601023AQ,Dulaglutide,0,58702
0406000P0,Metoclopramide hydrochloride,0,57922
0206020T0,Verapamil hydrochloride,0,57261
238031080,DUMMY CHEMICAL SUBSTANCE 238031080,0,56860
0409010H0,Ropinirole hydrochloride,0,56413
0408010Q0,Phenytoin sodium,0,56394
238047080,DUMMY CHEMICAL SUBSTANCE 238047080,0,56369
238030680,DUMMY CHEMICAL SUBSTANCE 238030680,0,55909
0109040N0,Pancreatin,0,55661
0502030B0,Nystatin,0,54252
0606020R0,Risedronate sodium,0,53816
0602020D0,Carbimazole,0,53227
0206020K0,Lacidipine,0,53173
0209000Z0,Ticagrelor,0,53160
0301020T0,Umeclidinium bromide,0,52882
1310020H0,Clotrimazole,0,52864
020400080,Carvedilol,0,52515
0401010Y0,Zolpidem tartrate,0,52407
0204000AB,Nebivolol,0,52360
0803041B0,Anastrozole,0,52263
0601021A0,Glimepiride,0,52125
1106000Z0,Timolol,0,51481
1309000I0,Ketoconazole,0,50796
1309000C0,Coal tar,0,50748
0601023AM,Canagliflozin,0,50224
0212000P0,Fenofibrate,0,49836
0603010I0,Fludrocortisone acetate,0,49151
1108010D0,Carmellose sodium,0,48759
0206030Z0,Ranolazine,0,47273
190700000,Other base/diluent/suspending agent/stabiliser preparations,0,46941
0407042Q0,Pizotifen malate,0,46649
0402030Q0,Valproic acid,0,46331
0107020J0,Hydrocortisone,0,45880
1306010Y0,Benzoyl peroxide and clindamycin phosphate,0,45707
0601011L0,Insulin Lispro,0,45594
0601012Z0,Insulin degludec,0,45416
0403010J0,Dosulepin hydrochloride,0,45340
0501110C0,Metronidazole,0,45051
0102000T0,Peppermint oil,0,44629
0206030Y0,Ivabradine,0,44575
0601023AB,Liraglutide,0,44509
0603020J0,Hydrocortisone,0,43698
1302011L0,Light liquid paraffin,0,43081
1001040G0,Colchicine,0,43038
1001010C0,Diclofenac sodium,0,43008
0704010A0,Alfuzosin hydrochloride,0,42835
0502010B0,Fluconazole,0,42104
0409010W0,Pramipexole,0,41882
0902013S0,Sodium bicarbonate,0,41802
0204000T0,Sotalol hydrochloride,0,41418
212100000,DUMMY CHEMICAL SUBSTANCE 212100000,0,41374
1302010U0,Urea,0,40448
0203020I0,Flecainide acetate,0,40328
0203020D0,Amiodarone hydrochloride,0,39925
1203010E0,Benzydamine hydrochloride,0,39883
0301030S0,Theophylline,0,39671
1001010AA,Meloxicam,0,39285
0205052B0,Olmesartan medoxomil,0,39192
0208020X0,Dabigatran etexilate,0,38923
0501120L0,Ciprofloxacin,0,38881
1104010I0,Dexamethasone,0,38496
0211000P0,Tranexamic acid,0,37398
0703010E0,Combined ethinylestradiol 20mcg,0,37311
0304030C0,Adrenaline,0,35972
1404000L0,Pneumococcal,0,35723
0501050C0,Erythromycin,0,35717
1001010AJ,Etoricoxib,0,35360
0905011D0,Calcium carbonate,0,35272
1106000AE,Travoprost,0,35215
0212000D0,Bezafibrate,0,35066
0301020S0,Glycopyrronium bromide,0,34928
0301020I0,Ipratropium bromide,0,34829
1304000X0,Hydrocortisone acetate,0,34666
0407041Z0,Zolmitriptan,0,34510
0601060W0,Ketone blood testing reagents,0,34503
0304010J0,Hydroxyzine hydrochloride,0,33894
0401010R0,Nitrazepam,0,33703
1202030S0,Neomycin sulfate,0,33659
0205052V0,Valsartan,0,33366
0402010A0,Amisulpride,0,33147
0205020M0,Moxonidine,0,32685
0103050T0,Rabeprazole sodium,0,32635
0411000E0,Rivastigmine,0,32633
213000003,DUMMY CHEMICAL SUBSTANCE 213000003,0,32462
1003020R0,Piroxicam,0,32359
1106000P0,Dorzolamide,0,32351
0410020B0,Nicotine,0,32200
0604012S0,Progesterone,0,31614
1304000D0,Betamethasone esters,0,31557
1001022K0,Methylprednisolone acetate,0,31392
1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal),0,31051
0407041R0,Rizatriptan,0,30572
1404000S0,Typhoid,0,30568
212400001,DUMMY CHEMICAL SUBSTANCE 212400001,0,30468
0204000K0,Metoprolol tartrate,0,30391
0301011U0,Salmeterol,0,30306
0109010U0,Ursodeoxycholic acid,0,30277
1106000AD,Latanoprost and timolol,0,29848
040801060,Clobazam,0,29641
0502050C0,Terbinafine hydrochloride,0,29564
0406000J0,Domperidone,0,29448
0601012F0,Biphasic insulin lispro,0,29283
0205052Q0,Telmisartan,0,29269
210109009,DUMMY CHEMICAL SUBSTANCE 210109009,0,29061
1310020N0,Miconazole nitrate,0,28624
0504010T0,Quinine bisulfate,0,28479
190205500,Other toiletry preparations,0,28282
0906070T0,Vitamins caps,0,28036
0406000D0,Cinnarizine,0,27942
0402010J0,Haloperidol,0,27503
1001010AH,Celecoxib,0,27476
0605020E0,Desmopressin acetate,0,27456
0107020P0,Prednisolone,0,27453
0405010P0,Orlistat,0,27258
0601040I0,Glucose,0,27115
0301040X0,Tiotropium bromide/olodaterol,0,26865
0904010H0,Gluten free bread,0,26678
0704020Z0,Trospium chloride,0,26646
0205052AE,Sacubitril/valsartan,0,26573
0704020AA,Duloxetine hydrochloride,0,26495
211200001,DUMMY CHEMICAL SUBSTANCE 211200001,0,26425
1404000F0,Diphtheria,0,26425
0410020C0,Varenicline tartrate,0,25750
0604020B0,Dutasteride,0,25724
200309000,DUMMY CHEMICAL SUBSTANCE 200309000,0,25670
0301040Y0,Indacaterol/glycopyrronium,0,25661
0501030T0,Oxytetracycline,0,25657
210109005,DUMMY CHEMICAL SUBSTANCE 210109005,0,25656
0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide),0,25586
200301000,DUMMY CHEMICAL SUBSTANCE 200301000,0,25545
0901011H0,Ferrous gluconate,0,25530
1106000AA,Brimonidine tartrate,0,25272
1310012K0,Metronidazole,0,25132
0407042F0,Clonidine hydrochloride,0,24974
0604020K0,Testosterone,0,24862
0601023AW,Semaglutide,0,24631
212300001,DUMMY CHEMICAL SUBSTANCE 212300001,0,24594
0301020R0,Aclidinium bromide,0,24019
0703010G0,Combined ethinylestradiol 35mcg,0,23727
226010060,DUMMY CHEMICAL SUBSTANCE 226010060,0,23627
0407010P0,Nefopam hydrochloride,0,23404
211600000,DUMMY CHEMICAL SUBSTANCE 211600000,0,23117
200309002,DUMMY CHEMICAL SUBSTANCE 200309002,0,23108
140400030,Hepatitis A,0,22847
090900000,Other food preparations,0,22737
0301030C0,Aminophylline hydrate,0,22572
210200011,DUMMY CHEMICAL SUBSTANCE 210200011,0,22508
211400000,DUMMY CHEMICAL SUBSTANCE 211400000,0,22311
0406000S0,Ondansetron hydrochloride,0,22158
226009560,DUMMY CHEMICAL SUBSTANCE 226009560,0,22055
0501015P0,Pivmecillinam hydrochloride,0,21850
201000005,DUMMY CHEMICAL SUBSTANCE 201000005,0,21546
1501041T0,Midazolam hydrochloride,0,21300
200900004,DUMMY CHEMICAL SUBSTANCE 200900004,0,21132
0102000A0,Alverine citrate,0,20835
0209000L0,Dipyridamole,0,20827
210125001,DUMMY CHEMICAL SUBSTANCE 210125001,0,20763
200317000,DUMMY CHEMICAL SUBSTANCE 200317000,0,20422
0402010D0,Chlorpromazine hydrochloride,0,20396
0803042A0,Bicalutamide,0,20225
0704020AD,Fesoterodine fumarate,0,20206
1106000AH,Timolol and travoprost,0,20125
0403010F0,Clomipramine hydrochloride,0,20109
213000004,DUMMY CHEMICAL SUBSTANCE 213000004,0,19848
200202009,DUMMY CHEMICAL SUBSTANCE 200202009,0,19719
0803042K0,Goserelin acetate,0,19700
1001010N0,Mefenamic acid,0,19386
0604012P0,Norethisterone,0,19143
1003020W0,Heparinoid,0,18910
200202008,DUMMY CHEMICAL SUBSTANCE 200202008,0,18334
0802010M0,Mycophenolate mofetil,0,18308
236010063,DUMMY CHEMICAL SUBSTANCE 236010063,0,18303
0304010AB,Desloratadine,0,18293
0603020G0,Dexamethasone,0,18159
0501050H0,Erythromycin ethylsuccinate,0,18138
0902021X0,Water for injection,0,17997
225010050,DUMMY CHEMICAL SUBSTANCE 225010050,0,17885
1305030C0,Tacrolimus,0,17846
0409010Y0,Rasagiline mesilate,0,17788
0106020L0,Glycerol,0,17783
1302020D0,Dimeticone (Barrier),0,17724
1106000AJ,Brinzolamide and timolol,0,17685
210705101,DUMMY CHEMICAL SUBSTANCE 210705101,0,17663
0404000U0,Lisdexamfetamine dimesylate,0,17607
0803042N0,Leuprorelin acetate,0,17604
0301040V0,Aclidinium bromide/formoterol,0,17577
0501080D0,Co-trimoxazole(Trimethoprim/sulfamethoxazole),0,17483
0604011Y0,Tibolone,0,17372
1106000AL,Brinzolamide/brimonidine,0,17225
1306010Z0,Adapalene and benzoyl peroxide,0,17169
1306010I0,Erythromycin,0,17168
1202020L0,Sodium chloride,0,17135
0601023AC,Saxagliptin,0,16678
0604011P0,Oestrogens conjugated,0,16505
1001030L0,Leflunomide,0,16334
0205052P0,Losartan potassium with diuretic,0,16218
1003020I0,Diethylamine salicylate,0,16178
0902012H0,Oral rehydration salts,0,16166
0205010J0,Hydralazine hydrochloride,0,16137
201200002,DUMMY CHEMICAL SUBSTANCE 201200002,0,15998
0408010N0,Phenobarbital,0,15929
0401020B0,Buspirone hydrochloride,0,15926
210704101,DUMMY CHEMICAL SUBSTANCE 210704101,0,15901
238009080,DUMMY CHEMICAL SUBSTANCE 238009080,0,15833
211300001,DUMMY CHEMICAL SUBSTANCE 211300001,0,15832
1003020AA,Capsaicin,0,15764
0408010AH,Lacosamide,0,15636
1203040E0,Chlorhexidine gluconate,0,15387
0408010AD,Zonisamide,0,15158
1001040V0,Febuxostat,0,15104
231507015,DUMMY CHEMICAL SUBSTANCE 231507015,0,15074
0606020W0,Ibandronic acid,0,15012
210200009,DUMMY CHEMICAL SUBSTANCE 210200009,0,15000
1311020L0,Chlorhexidine gluconate,0,14939
0106020P0,Sodium picosulfate,0,14929
200301003,DUMMY CHEMICAL SUBSTANCE 200301003,0,14894
1104020Z0,Olopatadine,0,14865
210200014,DUMMY CHEMICAL SUBSTANCE 210200014,0,14699
0407020AG,Tapentadol hydrochloride,0,14482
1302020E0,Zinc oxide,0,14453
0403040AB,Vortioxetine,0,14422
0403010R0,Lofepramine hydrochloride,0,14352
131002030,Terbinafine hydrochloride,0,14089
0901011W0,Sodium feredetate,0,14082
0407041M0,Naratriptan hydrochloride,0,13952
0704010V0,Tamsulosin and dutasteride hydrochloride,0,13950
200306003,DUMMY CHEMICAL SUBSTANCE 200306003,0,13947
1306010H0,Adapalene,0,13856
0601023AD,Metformin hydrochloride/sitagliptin,0,13796
1104010D0,Betamethasone sodium phosphate,0,13650
225009550,DUMMY CHEMICAL SUBSTANCE 225009550,0,13618
0408010U0,Primidone,0,13593
0604011K0,Estradiol valerate,0,13546
0212000AD,Colesevelam hydrochloride,0,13360
0411000F0,Galantamine,0,13298
190201000,Other individually formulated bought in preparations,0,13290
0409010X0,Levodopa/carbidopa/entacapone,0,13084
100302010,Ketoprofen,0,13080
238030480,DUMMY CHEMICAL SUBSTANCE 238030480,0,13048
211600001,DUMMY CHEMICAL SUBSTANCE 211600001,0,13048
0803041C0,Exemestane,0,13029
200900009,DUMMY CHEMICAL SUBSTANCE 200900009,0,12964
200317001,DUMMY CHEMICAL SUBSTANCE 200317001,0,12871
1002020S0,Methocarbamol,0,12798
0202030C0,Amiloride hydrochloride,0,12787
1203020H0,Miconazole,0,12662
212800001,DUMMY CHEMICAL SUBSTANCE 212800001,0,12659
0407041A0,Analgesics with anti-emetics,0,12645
238002980,DUMMY CHEMICAL SUBSTANCE 238002980,0,12370
020400040,Co-tenidone (Atenolol/chlortalidone),0,12317
0107010Z0,Zinc oxide,0,12204
0403010N0,Imipramine hydrochloride,0,12200
1001022U0,Triamcinolone acetonide,0,12044
0103010D0,Cimetidine,0,11972
0704020AC,Darifenacin hydrobromide,0,11945
231510015,DUMMY CHEMICAL SUBSTANCE 231510015,0,11913
0905030G0,Sodium fluoride,0,11841
091200000,Other health supplement preparations,0,11810
1308010Y0,Fluorouracil (Sunscreen),0,11755
0106070A0,Prucalopride,0,11647
0604020T0,Testosterone undecanoate,0,11638
0409010B0,Amantadine hydrochloride,0,11634
0403040F0,Flupentixol hydrochloride,0,11575
0409010Z0,Rotigotine,0,11463
0208010D0,Enoxaparin,0,11462
0301011E0,Formoterol fumarate,0,11425
0207020Y0,Midodrine hydrochloride,0,11324
0404000S0,Atomoxetine hydrochloride,0,11250
210113001,DUMMY CHEMICAL SUBSTANCE 210113001,0,11250
1310020A0,Amorolfine hydrochloride,0,11072
0802020T0,Tacrolimus,0,11032
091000000,Other compound vitamin/mineral formulation preparations,0,10973
238010080,DUMMY CHEMICAL SUBSTANCE 238010080,0,10931
233510038,DUMMY CHEMICAL SUBSTANCE 233510038,0,10925
0206040AE,Naftidrofuryl oxalate,0,10921
0406000A0,Hyoscine,0,10906
210200008,DUMMY CHEMICAL SUBSTANCE 210200008,0,10770
090401030,Gluten free mixes,0,10708
230510090,DUMMY CHEMICAL SUBSTANCE 230510090,0,10667
231509015,DUMMY CHEMICAL SUBSTANCE 231509015,0,10661
228010080,DUMMY CHEMICAL SUBSTANCE 228010080,0,10588
0410010A0,Acamprosate calcium,0,10527
200316000,DUMMY CHEMICAL SUBSTANCE 200316000,0,10507
1202020I0,Ipratropium bromide,0,10310
210112002,DUMMY CHEMICAL SUBSTANCE 210112002,0,10249
0409020C0,Trihexyphenidyl hydrochloride,0,10242
0402010S0,Promazine hydrochloride,0,10174
231541015,DUMMY CHEMICAL SUBSTANCE 231541015,0,10133
226005060,DUMMY CHEMICAL SUBSTANCE 226005060,0,10085
201200001,DUMMY CHEMICAL SUBSTANCE 201200001,0,10070
0501130H0,Methenamine hippurate,0,10049
1001010K0,Indometacin,0,9988
1310030C0,Aciclovir,0,9935
210200012,DUMMY CHEMICAL SUBSTANCE 210200012,0,9920
0212000F0,Colestyramine,0,9916
0402010L0,Levomepromazine hydrochloride,0,9784
0204000I0,Labetalol hydrochloride,0,9749
0604012M0,Medroxyprogesterone acetate,0,9728
0408010D0,Oxcarbazepine,0,9656
1306010C0,Benzoyl peroxide,0,9651
1310040Q0,Permethrin,0,9643
0212000M0,Fluvastatin sodium,0,9590
1404000AD,Hepatitis A/typhoid vaccine,0,9507
0601011P0,Insulin glulisine,0,9477
1303000AA,Menthol,0,9438
0402010U0,Sulpiride,0,9390
0205051K0,Lisinopril with diuretic,0,9238
0601060U0,Urine testing reagents,0,9173
1002020T0,Tizanidine hydrochloride,0,9072
200317002,DUMMY CHEMICAL SUBSTANCE 200317002,0,9060
0601023Y0,Exenatide,0,8914
0703023L0,Levonorgestrel,0,8848
1104010R0,Prednisolone acetate,0,8738
0906024N0,Pyridoxine hydrochloride,0,8692
1106000B0,Acetazolamide,0,8624
1202010I0,Budesonide,0,8556
0801050P0,Hydroxycarbamide,0,8541
210122001,DUMMY CHEMICAL SUBSTANCE 210122001,0,8499
238048080,DUMMY CHEMICAL SUBSTANCE 238048080,0,8474
0703022P0,Etonogestrel,0,8443
210200007,DUMMY CHEMICAL SUBSTANCE 210200007,0,8426
0704050B0,Alprostadil,0,8397
0408020W0,Midazolam hydrochloride,0,8361
0902012L0,Sodium chloride,0,8349
1501030G0,Glycopyrronium bromide,0,8332
0601040H0,Glucagon,0,8293
0202040C0,Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),0,8275
1308010W0,Diclofenac sodium,0,8192
1001010E0,Etodolac,0,8101
0902011U0,Potassium chloride,0,8058
1304000N0,Fluocinolone acetonide,0,8036
0309010C0,Codeine phosphate,0,8024
0212000AB,Omega-3-acid ethyl esters,0,8012
1306020C0,Co-cyprindiol (Cyprote acetate/ethinylestradiol),0,7970
1303000I0,Crotamiton,0,7863
0205020E0,Clonidine hydrochloride,0,7851
225005050,DUMMY CHEMICAL SUBSTANCE 225005050,0,7843
1306010F0,Clindamycin phosphate,0,7839
0208010L0,Dalteparin sodium,0,7812
1305020V0,Cocois,0,7801
200317003,DUMMY CHEMICAL SUBSTANCE 200317003,0,7765
200306000,DUMMY CHEMICAL SUBSTANCE 200306000,0,7721
1306010B0,Azelaic acid,0,7683
1103010H0,Fusidic acid,0,7489
200301002,DUMMY CHEMICAL SUBSTANCE 200301002,0,7462
213200001,DUMMY CHEMICAL SUBSTANCE 213200001,0,7352
0404000R0,Modafinil,0,7325
0703021N0,Norethisterone,0,7315
0502010C0,Itraconazole,0,7309
0106040R0,Sodium citrate (Rectal),0,7141
1106000AK,Tafluprost,0,7124
0803042P0,Triptorelin acetate,0,7075
0906031C0,Ascorbic acid,0,6988
0406000L0,Hyoscine hydrobromide,0,6963
223010030,DUMMY CHEMICAL SUBSTANCE 223010030,0,6955
226050560,DUMMY CHEMICAL SUBSTANCE 226050560,0,6943
0402010T0,Zuclopenthixol hydrochloride,0,6939
1302010F0,Emulsifying wax,0,6929
0205052A0,Irbesartan with diuretic,0,6928
0906040N0,Ergocalciferol,0,6896
200308000,DUMMY CHEMICAL SUBSTANCE 200308000,0,6874
1202010T0,Triamcinolone acetonide,0,6839
0607010C0,Cabergoline,0,6814
0501070X0,Rifaximin,0,6794
1314000H0,Heparinoid,0,6764
0704050AA,Vardenafil,0,6747
1202030R0,Mupirocin,0,6710
0601023AJ,Alogliptin/metformin,0,6679
210200005,DUMMY CHEMICAL SUBSTANCE 210200005,0,6658
0904010K0,Glucose,0,6656
0105020A0,Budesonide,0,6648
226020860,DUMMY CHEMICAL SUBSTANCE 226020860,0,6624
1002010Q0,Pyridostigmine bromide,0,6607
0501060D0,Clindamycin hydrochloride,0,6568
231539315,DUMMY CHEMICAL SUBSTANCE 231539315,0,6562
0905022S0,Sevelamer,0,6541
200301006,DUMMY CHEMICAL SUBSTANCE 200301006,0,6399
200309003,DUMMY CHEMICAL SUBSTANCE 200309003,0,6299
0406000G0,Cyclizine lactate,0,6280
0801030L0,Mercaptopurine,0,6273
238007780,DUMMY CHEMICAL SUBSTANCE 238007780,0,6245
0309020D0,Simple,0,6238
1307000M0,Salicylic acid,0,6237
